Pikmin Bloom Walk Simulator (fast mode)
Detecting running emulators...
Found 1 emulator(s)

Fetching location for emulator-5554...
   Location: 51.893612, 4.520327

Walking. Press Ctrl+C to stop.
[emulator-5554] Starting walk at 51.893612, 4.520327 — 50000 steps
[emulator-5554] 0% | Step 100/50000 | Out | 51.893612, 4.5195770
[emulator-5554] 0% | Step 200/50000 | Out | 51.8928620, 4.5195770
[emulator-5554] 0% | Step 300/50000 | Out | 51.8928620, 4.5203270
[emulator-5554] 0% | Step 400/50000 | Out | 51.8936120, 4.5203270
[emulator-5554] 1% | Step 500/50000 | Out | 51.8936120, 4.5195770
[emulator-5554] 1% | Step 600/50000 | Out | 51.8928620, 4.5195770
[emulator-5554] 1% | Step 700/50000 | Out | 51.8928620, 4.5203270
[emulator-5554] 1% | Step 800/50000 | Out | 51.8936120, 4.5203270
[emulator-5554] 1% | Step 900/50000 | Out | 51.8936120, 4.5195770
[emulator-5554] 2% | Step 1000/50000 | Out | 51.8928620, 4.5195770
[emulator-5554] 2% | Step 1100/50000 | Out | 51.8928620, 4.5203270
